Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s),source
1,A system of linear equations is a set of two or more equations using ___.,the same variables,different variables,only one variable,no variables,20,1,1-6-lessonplan-example-1
2,The solution of a system of two linear equations is the point where the lines ___.,intersect,are parallel,cross the x-axis,cross the y-axis,20,1,1-6-lessonplan-example-1
3,"If two lines in a system are parallel and different, the system has ___.",no solution,one solution,infinitely many solutions,two solutions,20,1,1-6-lessonplan-example-1
4,"If two equations in a system describe the same line, the system has ___.",infinitely many solutions,no solution,one solution,two solutions,20,1,1-6-lessonplan-example-1
5,"In the substitution method, you first ___.",solve one equation for one variable,add the two equations,graph both lines,multiply both equations by zero,20,1,1-6-lessonplan-example-1
6,"In the elimination method, you add or subtract equations to ___.",remove one variable,remove both variables,find the y-intercept,check the graph,20,1,1-6-lessonplan-example-1
7,The system 3x + 2y = 5 and 6x + 4y = 3 has ___.,no solution,one solution,infinitely many solutions,"the solution (0, 0)",20,1,1-6-lessonplan-example-1
8,A solution of a system of inequalities is any point in the ___ of the shaded regions.,overlap,union,boundary only,complement,20,1,1-6-lessonplan-example-2
9,A dashed boundary line on an inequality graph means the line is ___.,not included,included,vertical,the x-axis,20,1,1-6-lessonplan-example-2
10,A solid boundary line shows the inequality symbol is ___.,≤ or ≥,< or >,=,≠,20,1,1-6-lessonplan-example-2
11,"A solution of a system in x, y, and z is written as ___.","an ordered triple (x, y, z)","an ordered pair (x, y)",a single number,a line,20,1,1-6-lessonplan-example-3
12,"To solve a system in three variables, first eliminate one variable to get a system in ___.",two variables,three variables,one equation,zero variables,20,1,1-6-lessonplan-example-3
13,The constraints x ≥ 0 and y ≥ 0 keep a solution region in the ___ quadrant.,first,second,third,fourth,20,1,1-6-lessonplan-example-2
14,The solution of the system x + 2y = 3 and x − 2y = 4 is ___.,"(3.5, −0.25)","(3.5, 0.25)","(−3.5, 0.25)","(0.5, 1.25)",20,1,1-6-lessonplan-example-1
