Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s),source
1,"In g(x) = f(x) + k with k > 0, the graph of f moves ___.",up k units,down k units,right k units,left k units,20,1,1-2-lessonplan-example-1
2,A translation h units to the right is written as ___.,f(x − h),f(x + h),f(x) − h,f(x) + h,20,1,1-2-lessonplan-example-1
3,g(x) = −f(x) reflects the graph of f across the ___.,x-axis,y-axis,line y = x,origin,20,1,1-2-lessonplan-example-2
4,Replacing x with −x in f(x) reflects the graph across the ___.,y-axis,x-axis,line y = x,origin,20,1,1-2-lessonplan-example-2
5,g(x) = a · f(x) with a > 1 is a vertical ___.,stretch by a factor of a,compression by a factor of a,translation up a units,reflection,20,1,1-2-lessonplan-example-3
6,g(x) = a · f(x) with 0 < a < 1 is a vertical ___.,compression,stretch,translation,reflection,20,1,1-2-lessonplan-example-3
7,g(x) = f(bx) with b > 1 is a horizontal ___.,compression by a factor of 1/b,stretch by a factor of b,translation right b units,reflection,20,1,1-2-lessonplan-example-3
8,g(x) = f(bx) with 0 < b < 1 is a horizontal ___.,stretch,compression,translation,reflection,20,1,1-2-lessonplan-example-3
9,A vertical translation changes the function's ___.,range,domain,both domain and range,neither domain nor range,20,1,1-2-lessonplan-example-1
10,A horizontal translation changes the function's ___.,domain,range,both domain and range,neither domain nor range,20,1,1-2-lessonplan-example-1
11,"In a · f[b(x − h)] + k, which values change the input x?",b and h,a and k,a and b,h and k,20,1,1-2-lessonplan-example-4
12,Which values in a · f[b(x − h)] + k act on the output after f is evaluated?,a and k,b and h,a and b,h and k,20,1,1-2-lessonplan-example-4
13,The graph of g(x) = (x − 4)² + 5 is the graph of y = x² moved ___.,right 4 and up 5,left 4 and up 5,right 4 and down 5,left 4 and down 5,20,1,1-2-lessonplan-example-5
14,The parent function of g(x) = ½|x + 3| is ___.,f(x) = |x|,f(x) = x²,f(x) = x,f(x) = ½x,20,1,1-2-lessonplan-example-5
